,Name,Type,Location,Price,Price Category
135,Admiralty Zone 7 RN: Tea Party with Neighbours (Blk 628A & 628B),Social & Community Events,Admiralty Zone 7 RN,0.0,Free
136,Admiralty Zone 7: Qigong Interest Group,Social & Community Events,Admiralty Zone 7 RN,0.0,Free
137,Kiddies Expression - Creative Fun Art (Age 5-12),Workshops & Classes,Admiralty Zone 9 RN,~125.0,$$$
138,Silat (HealthierSG),Fitness & Wellness,Admiralty Zone 9 RN,16.0,$
139,Taekwondo (Singapore Taekwondo Federation) (HealthierSG),Fitness & Wellness,Admiralty Zone 9 RN,~112.5,$$$
140,AHG Taijiquan March 17,Social & Community Events,Ah Hood Gardens RN,0.0,Free
141,AHG Taijiquan March 24,Social & Community Events,Ah Hood Gardens RN,0.0,Free
142,AHG Walking Football March 16,Social & Community Events,Ah Hood Gardens RN,0.0,Free
143,AHG Walking Football March 23,Social & Community Events,Ah Hood Gardens RN,0.0,Free
144,AHG Walking Football March 30,Social & Community Events,Ah Hood Gardens RN,0.0,Free
145,AHG Zumba Gold March 16,Social & Community Events,Ah Hood Gardens RN,0.0,Free
146,AHG Zumba Gold March 23,Social & Community Events,Ah Hood Gardens RN,0.0,Free
147,AHG Zumba Gold March 30,Social & Community Events,Ah Hood Gardens RN,0.0,Free
148,Erhu (Adult) - Elementary,Workshops & Classes,Aljunied CC,~145.0,$$$
149,Line Dance (Adult) - Elementary (HealthierSG),Workshops & Classes,Aljunied CC,~60.0,$$
150,Paya Lebar Buka Puasa 2025,Social & Community Events,Aljunied CC,0.0,Free
151,Paya Lebar CACC Crochet Workshop,Workshops & Classes,Aljunied CC,5.0,$
152,Paya Lebar CACC Crochet Workshop (April - June 2025),Workshops & Classes,Aljunied CC,5.0,$
153,Piano Grade 1,Workshops & Classes,Aljunied CC,~175.0,$$$
154,Piano Grade 7,Workshops & Classes,Aljunied CC,~455.0,$$$
155,Recreational Folk Dance (Intermediate) (HealthierSG),Workshops & Classes,Aljunied CC,~37.5,$
156,Potong Pasir Explores! Disney Garden of Wonder @ Floral Fantasy,Social & Community Events,Alkaff View @ Bidadari RN,~5.5,$
157,Taekwondo (Singapore Taekwondo Federation) (HealthierSG),Fitness & Wellness,Alkaff View @ Bidadari RN,~80.0,$$
158,Wushu SanDa - (Zhou Jia style) (HealthierSG),Fitness & Wellness,Alkaff View @ Bidadari RN,~125.0,$$$
159,Bishan - Ang Mo Kio Park,Outdoor & Nature,Along Ang Mo Kio Ave 1,0.0,Free
160,Bedok Reservoir Park,Outdoor & Nature,Along Bedok Reservoir Road,0.0,Free
161,Esplanade Park,Outdoor & Nature,"Along Connaught Drive, opposite Padang and City Hall",0.0,Free
162,East Coast Park,Outdoor & Nature,Along East Coast Parkway and East Coast Park Service Road,0.0,Free
163,Kranji Resevoir Park,Outdoor & Nature,Along Kranji Way,0.0,Free
164,MacRitchie Reservoir Park,Outdoor & Nature,Along Lornie Road,0.0,Free
165,Changi Beach Park,Outdoor & Nature,Along Nicoll Drive and Changi Coast Road,0.0,Free
166,Pasir Ris Town Park,Outdoor & Nature,"Along Pasir Ris Central, Opposite Pasir Ris MRT Station",0.0,Free
167,Punggol Waterway Park,Outdoor & Nature,Along Sentul Crescent Road,0.0,Free
168,Anchorvale CC IAEC Tamil Language Festival 2025,Social & Community Events,Anchorvale CC,2.0,$
169,Awaken the Warrior Within: Moana-Inspired Tahiti Dance and a Survivor's Journey for Breast Cancer Awareness,Social & Community Events,Anchorvale CC,8.0,$
170,Funday with Us @ ECP - Anchorvale CC WEC,Social & Community Events,Anchorvale CC,12.0,$
171,Hatha Yoga (Elementary) (HealthierSG),Fitness & Wellness,Anchorvale CC,~85.0,$$
172,Indian Classical Dance (Children) - Elementary,Workshops & Classes,Anchorvale CC,~125.0,$$$
173,Line Dance (Adult) - Intermediate (HealthierSG),Workshops & Classes,Anchorvale CC,~65.0,$$
174,Sengkang West Family Fiesta,Social & Community Events,Anchorvale CC,5.0,$
175,Sengkang West Sports Fiesta,Social & Community Events,Anchorvale CC,5.0,$
176,Silat (SHIOK Series),Fitness & Wellness,Anchorvale CC,3.0,$
177,Taekwondo (Singapore Taekwondo Federation) (HealthierSG),Fitness & Wellness,Anchorvale CC,~65.0,$$
178,Wushu (HealthierSG),Fitness & Wellness,Anchorvale CC,~87.5,$$
179,Zumba® Fitness (HealthierSG),Fitness & Wellness,Anchorvale CC,~52.5,$$
180,Sengkang Riverside Park,Outdoor & Nature,Anchorvale Street abutting Sungei Punggol,0.0,Free
181,Fitness First - AMK Hub,Fitness & Wellness,"Ang Mo Kio Ave 3, Postal Code: 569933",150.0,$$$
182,Yio Chu Kang ClubFITT Gym,Fitness & Wellness,"Ang Mo Kio Ave 9, Postal Code: 569770",2.5,$
183,Taekwondo (Singapore Taekwondo Federation) (HealthierSG),Fitness & Wellness,Ang Mo Kio-Hougang Acacia RN,70.0,$$
184,Angsana Brisk Walk @ Mandai Boardwalk,Social & Community Events,Ang Mo Kio-Hougang Angsana RN,3.0,$
185,Angsana Brisk walk @ Marina Bay Waterfront Promenade,Social & Community Events,Ang Mo Kio-Hougang Angsana RN,3.0,$
186,TLM Food Expo - Singapore,Social & Community Events,Ang Mo Kio-Hougang Angsana RN,0.0,Free
187,Digital Club @ Hibiscus RN Mar 2025,Social & Community Events,Ang Mo Kio-Hougang Hibiscus RN,0.0,Free
188,Hibiscus Residents Singing Session 1 - 2025,Social & Community Events,Ang Mo Kio-Hougang Hibiscus RN,6.0,$
189,Ang Mo Kio-Hougang Ixora Movie Night 2025 - Kung Fu Panda 4,Social & Community Events,Ang Mo Kio-Hougang Ixora RN,2.0,$
190,Pencil Drawing & Watercolour Painting,Workshops & Classes,Ang Mo Kio-Hougang Ixora RN,105.0,$$$
191,Lavender Karaoke Time March 2025,Social & Community Events,Ang Mo Kio-Hougang Lavender RN,90.0,$$
192,Gentle Flow Yoga (HealthierSG),Fitness & Wellness,Ang Mo Kio-Hougang Maple RN,100.0,$$
193,Yin Yang Yoga (HealthierSG),Fitness & Wellness,Ang Mo Kio-Hougang Maple RN,100.0,$$
194,Yoga Stretch (HealthierSG),Fitness & Wellness,Ang Mo Kio-Hougang Maple RN,108.0,$$$
195,Line Dance (Adult) - Advanced (HealthierSG),Workshops & Classes,Ang Mo Kio-Hougang Orchid RN,55.0,$$
196,Orchid RN Line Dance Jam April 2025,Social & Community Events,Ang Mo Kio-Hougang Orchid RN,4.0,$
197,Body Sculpt (HealthierSG) (Ang Mo Kio-Hougang),Fitness & Wellness,Ang Mo Kio-Hougang Palmview RN,118.0,$$$
198,Kickboxing (HealthierSG),Fitness & Wellness,Ang Mo Kio-Hougang Palmview RN,118.0,$$$
199,Pilates MatWork (HealthierSG),Fitness & Wellness,Ang Mo Kio-Hougang Palmview RN,118.0,$$$
200,Step Aerobics (HealthierSG),Fitness & Wellness,Ang Mo Kio-Hougang Palmview RN,118.0,$$$
201,Stretch Fit & Massage (HealthierSG),Fitness & Wellness,Ang Mo Kio-Hougang Palmview RN,118.0,$$$
202,Ang Mo Kio-Hougang Peony RN-Morning Breakfast (5/4/2025),Social & Community Events,Ang Mo Kio-Hougang Peony RN,3.0,$
203,Ang Mo Kio-Hougang Peony RN-Temple & Shopping Tour (12/5/2025),Social & Community Events,Ang Mo Kio-Hougang Peony RN,3.0,$
204,Ukulele - Beginner,Workshops & Classes,Ang Mo Kio-Hougang Peony RN,100.0,$$
205,$0.00 Hair Cut for Senior Citizens,Social & Community Events,Ang Mo Kio-Hougang Pinetree RN,0.0,Free
206,High Tea for Senior Citizens,Social & Community Events,Ang Mo Kio-Hougang Pinetree RN,1.0,$
207,Pinetree Happy Breakfast Gathering,Social & Community Events,Ang Mo Kio-Hougang Pinetree RN,2.0,$
208,Pinetree Morning Briskwalk (March 2025),Social & Community Events,Ang Mo Kio-Hougang Pinetree RN,3.0,$
209,Ang Mo Kio-Hougang Raintree RN@ Movie Night ( 30Mar25),Social & Community Events,Ang Mo Kio-Hougang Raintree RN,2.0,$
210,Chinese Ink Painting,Workshops & Classes,Ang Mo Kio-Hougang Sunflower RN,80.0,$$
211,Hairdressing/Styling (Elementary),Fitness & Wellness,Ang Mo Kio-Hougang Sunflower RN,180.0,$$$
212,Recreational Folk Dance (Elementary) (HealthierSG),Workshops & Classes,Ang Mo Kio-Hougang Sunflower RN,30.0,$
213,Sembawang Park,Outdoor & Nature,At the end of Sembawang,0.0,Free
214,Break-FAST with Austville RN,Social & Community Events,Austville RN,0.0,Free
215,30.03.2025 - ACRN Funwalk,Social & Community Events,Axis Colours RN,2.0,$
216,Hatha Yoga (Elementary) (HealthierSG),Fitness & Wellness,Axis Colours RN,60.0,$$
217,Ayer Rajah-Gek Poh (ARGP) CSN Football 2025-Adult,Social & Community Events,Ayer Rajah CC,50.0,$
218,Ayer Rajah-Gek Poh (ARGP) CSN PACF 2025,Social & Community Events,Ayer Rajah CC,50.0,$
219,Let's CooknBake - Mee Siam with Gravy & Corn Pudding,Social & Community Events,Ayer Rajah CC,5.0,$
220,No Cap,Social & Community Events,Ayer Rajah CC,0.0,Free
221,Kreta Ayer Square,Cultural & Heritage,Banda Street,0.0,Free
222,Zumba @Kg Glam (24 March 2025),Social & Community Events,Beach Road RN,0.0,Free
223,Chair Yoga (HealthierSG) (Bedok Bunga Merah),Fitness & Wellness,Bedok Bunga Merah RC,~65.0,$$
224,Taijiquan (HealthierSG),Fitness & Wellness,Bedok Bunga Merah RC,~75.0,$$
225,Bedok Bunga Merah Residents' Network Block Party in conjunction with ASK HSK,Social & Community Events,Bedok CC,2.0,$
226,Bedok CACC - Voices of Bedok: Sing together for SG60 Workshop,Workshops & Classes,Bedok CC,0.0,Free
227,Bhangra Dance (HealthierSG),Workshops & Classes,Bedok CC,~80.0,$$
228,Japanese Pastel Nagomi Art,Workshops & Classes,Bedok CC,~12.5,$
229,Karate (HealthierSG),Fitness & Wellness,Bedok CC,~105.0,$$$
230,Kayak N Klean with Bedok Youth Network,Social & Community Events,Bedok CC,5.0,$
231,Korean Pop Dance (HealthierSG),Workshops & Classes,Bedok CC,~110.0,$$$
232,Line Dance (Adult) - Elementary (HealthierSG),Workshops & Classes,Bedok CC,~70.0,$$
233,Recreational Folk Dance (Elementary) (HealthierSG),Workshops & Classes,Bedok CC,~35.0,$
234,Recreational Karaoke Classical Singing (Mandarin),Workshops & Classes,Bedok CC,~105.0,$$$
235,Recreational Karaoke Dialect Singing (Hokkien),Workshops & Classes,Bedok CC,~90.0,$$
236,Taekwondo (Singapore Taekwondo Federation) (HealthierSG),Fitness & Wellness,Bedok CC,~50.0,$
237,Taijiquan (HealthierSG),Fitness & Wellness,Bedok CC,~95.0,$$
238,Yin Yoga (HealthierSG),Fitness & Wellness,Bedok CC,~160.0,$$$
239,Yoga Therapy (HealthierSG),Fitness & Wellness,Bedok CC,~120.0,$$$
240,Bedok Town Park,Outdoor & Nature,"Bedok North Ave 3. Bounded by Bedok North Road, Bedok North Avenue 3 and the Pan Island Expressway",0.0,Free
241,Artistic Expression for Children (Bedok Reservoir - Punggol Crest),Workshops & Classes,Bedok Reservoir-Punggol Crest RN,160.0,$$$
242,BRP Crest RN One Day Cultural Tour 2025 - 29 March 2025,Social & Community Events,Bedok Reservoir-Punggol Crest RN,5.0,$
243,[Garden RN] 715 Community Garden Jan to Dec 2025,Social & Community Events,Bedok Reservoir-Punggol Garden RN,60.0,$$
244,[Garden RN] 719 Community Garden Jan to Dec 2025,Social & Community Events,Bedok Reservoir-Punggol Garden RN,60.0,$$
245,[Garden RN] 720 Community Garden Jan to Dec 2025,Social & Community Events,Bedok Reservoir-Punggol Garden RN,60.0,$$
246,Heights RN Brisk Walk at Mandai Boardwalk,Social & Community Events,Bedok Reservoir-Punggol Heights RN,3.0,$
247,Heights RN Movie Screening 2025,Social & Community Events,Bedok Reservoir-Punggol Heights RN,0.0,Free
248,Chair Yoga (HealthierSG) (Bedok Reservoir),Fitness & Wellness,Bedok Reservoir-Punggol Park Crescent RN,~72.5,$$
249,Half Day CPR-AED Certification Course,Workshops & Classes,Bedok Reservoir-Punggol Park Crescent RN,0.0,Free
250,Yoga for Children,Fitness & Wellness,Bedok Reservoir-Punggol Park Crescent RN,~52.5,$$
251,"[Parkview RN] Brisk Walk at Mandai Boardwalk - 29 March, Saturday",Social & Community Events,Bedok Reservoir-Punggol Parkview RN,3.0,$
252,[Parkview RN] Mammogram Bus Screening - 10 May 2025,Social & Community Events,Bedok Reservoir-Punggol Parkview RN,0.0,Free
253,BRP Rise RN PAssionWave Watersports Try-Outs(March 2025),Social & Community Events,Bedok Reservoir-Punggol Rise RN,1.0,$
254,TROPICA SELF-DEFENCE WORKSHOP,Workshops & Classes,Bedok Reservoir-Punggol Tropica NC,10.0,$
255,WATERVIEW BREAKING OF FAST,Social & Community Events,Bedok Reservoir-Punggol Waterview NC,0.0,Free
256,A World of Make Believe - Creative Little Hands (Bedok South),Workshops & Classes,Bedok South Horizon RC,~83.0,$$
257,March Holiday Universal Studios Singapore Trip,Social & Community Events,Bedok South Horizon RC,~35.0,$
258,Belysa RN Celebrating Raya with Fabric Printing - March 2025,Social & Community Events,Belysa RN,8.0,$
259,Choa Chu Kang Park,Outdoor & Nature,Beside Kranji Expressway and along Choa Chu Kang Drive,0.0,Free
260,Adult Ballet Class (HealthierSG),Workshops & Classes,Bidadari CC,~285.0,$$$
261,Aikido for Kids (Bidadari),Fitness & Wellness,Bidadari CC,~115.0,$$$
262,Aroma Stretch (HealthierSG),Fitness & Wellness,Bidadari CC,~120.0,$$$
263,Art of Zentangle,Workshops & Classes,Bidadari CC,~102.5,$$$
264,Basic Baking (Parent-Child) (Bidadari),Food & Beverage,Bidadari CC,35.0,$
265,Boogie Bounce Xtreme - Trampoline Fitness (HealthierSG) (Bidadari),Workshops & Classes,Bidadari CC,~137.0,$$$
266,Creative Baking Workshop for Children,Food & Beverage,Bidadari CC,25.0,$
267,Hatha Yoga (Elementary) (HealthierSG),Fitness & Wellness,Bidadari CC,~125.0,$$$
268,Jazz for Juniors (Age 5 to 8 years old),Workshops & Classes,Bidadari CC,~275.0,$$$
269,Line Dance (Adult) - Elementary (HealthierSG),Workshops & Classes,Bidadari CC,~85.0,$$
270,Line Dance (Adult) - Intermediate (HealthierSG),Workshops & Classes,Bidadari CC,~85.0,$$
271,Pilates - Matwork for Beginners (HealthierSG),Fitness & Wellness,Bidadari CC,~125.0,$$$
272,Pilates Flow by Piloxing® (HealthierSG),Fitness & Wellness,Bidadari CC,~115.0,$$$
273,Piloxing ® (HealthierSG),Fitness & Wellness,Bidadari CC,~115.0,$$$
274,Potong Pasir Community Day,Social & Community Events,Bidadari CC,0.0,Free
275,Potong Pasir Explores! Rainforest Wild ASIA,Social & Community Events,Bidadari CC,~15.0,$
276,POUND® (HealthierSG),Fitness & Wellness,Bidadari CC,~115.0,$$$
